date,SMA
2013-01-16,58.0035
2013-01-17,58.365
2013-01-18,58.752
2013-01-22,59.0475
2013-01-23,59.396
2013-01-24,59.729
2013-01-25,60.042
2013-01-28,60.2845
2013-01-29,60.672
2013-01-30,60.9685
2013-01-31,61.181
2013-02-01,61.3675
2013-02-04,61.5015
2013-02-05,61.607
2013-02-06,61.673
2013-02-07,61.764
2013-02-08,61.839
2013-02-11,61.8205
2013-02-12,61.786
2013-02-13,61.834
2013-02-14,61.8665
2013-02-15,61.78
2013-02-19,61.7095
2013-02-20,61.649
2013-02-21,61.4275
2013-02-22,61.2675
2013-02-25,60.979
2013-02-26,60.759
2013-02-27,60.506
2013-02-28,60.286
2013-03-01,60.0995
2013-03-04,60.053
2013-03-05,60.037
2013-03-06,60.1005
2013-03-07,60.154
2013-03-08,60.263
2013-03-11,60.344
2013-03-12,60.521
2013-03-13,60.6605
2013-03-14,60.784
2013-03-15,60.926
2013-03-18,61.0935
2013-03-19,61.235
2013-03-20,61.493
2013-03-21,61.8295
2013-03-22,62.0885
2013-03-25,62.407
2013-03-26,62.7375
2013-03-27,62.996
2013-03-28,63.2295
2013-04-01,63.3325
2013-04-02,63.3025
2013-04-03,63.1965
2013-04-04,63.0095
2013-04-05,62.852
2013-04-08,62.612
2013-04-09,62.4365
2013-04-10,62.271
2013-04-11,62.175
2013-04-12,61.9095
2013-04-15,61.4845
2013-04-16,61.1635
2013-04-17,60.768
2013-04-18,60.2875
2013-04-19,59.96
2013-04-22,59.667
2013-04-23,59.4665
2013-04-24,59.3105
2013-04-25,59.188
2013-04-26,59.0305
2013-04-29,59.016
2013-04-30,59.059
2013-05-01,59.0035
2013-05-02,59.0095
2013-05-03,59.108
2013-05-06,59.3005
2013-05-07,59.4535
2013-05-08,59.557
2013-05-09,59.5615
2013-05-10,59.666
2013-05-13,60.0055
2013-05-14,60.371
2013-05-15,60.8
2013-05-16,61.315
2013-05-17,61.788
2013-05-20,62.2035
2013-05-21,62.529
2013-05-22,62.766
2013-05-23,63.0115
2013-05-24,63.2905
2013-05-28,63.5765
2013-05-29,63.8555
2013-05-30,64.318
2013-05-31,64.7055
2013-06-03,65.0235
2013-06-04,65.275
2013-06-05,65.395
2013-06-06,65.573
2013-06-07,65.743
2013-06-10,65.9155
2013-06-11,66.01
2013-06-12,65.984
2013-06-13,66.0795
2013-06-14,66.145
2013-06-17,66.186
2013-06-18,66.279
2013-06-19,66.417
2013-06-20,66.5135
2013-06-21,66.5595
2013-06-24,66.525
2013-06-25,66.489
2013-06-26,66.524
2013-06-27,66.5595
2013-06-28,66.54
2013-07-01,66.4885
2013-07-02,66.375
2013-07-03,66.416
2013-07-05,66.48
2013-07-08,66.6515
2013-07-09,66.85
2013-07-10,67.131
2013-07-11,67.3945
2013-07-12,67.565
2013-07-15,67.7385
2013-07-16,67.7945
2013-07-17,67.751
2013-07-18,67.6975
2013-07-19,67.768
2013-07-22,67.8535
2013-07-23,67.997
2013-07-24,68.045
2013-07-25,68.0985
2013-07-26,68.0935
2013-07-29,68.1665
2013-07-30,68.2985
2013-07-31,68.4635
2013-08-01,68.538
2013-08-02,68.6015
2013-08-05,68.66
2013-08-06,68.6405
2013-08-07,68.5495
2013-08-08,68.5095
2013-08-09,68.4445
2013-08-12,68.315
2013-08-13,68.356
2013-08-14,68.438
2013-08-15,68.478
2013-08-16,68.501
2013-08-19,68.504
2013-08-20,68.521
2013-08-21,68.5375
2013-08-22,68.61
2013-08-23,68.746
2013-08-26,68.866
2013-08-27,68.8595
2013-08-28,68.898
2013-08-29,69.0135
2013-08-30,69.0735
2013-09-03,69.1235
2013-09-04,69.1675
2013-09-05,69.285
2013-09-06,69.3715
2013-09-09,69.4735
2013-09-10,69.6035
2013-09-11,69.636
2013-09-12,69.6665
2013-09-13,69.7995
2013-09-16,69.9255
2013-09-17,70.1335
2013-09-18,70.39
2013-09-19,70.692
2013-09-20,70.8685
2013-09-23,70.994
2013-09-24,71.109
2013-09-25,71.3155
2013-09-26,71.542
2013-09-27,71.6965
2013-09-30,71.8505
2013-10-01,72.0325
2013-10-02,72.2615
2013-10-03,72.4435
2013-10-04,72.697
2013-10-07,72.889
2013-10-08,73.0025
2013-10-09,73.1025
2013-10-10,73.3475
2013-10-11,73.596
2013-10-14,73.812
2013-10-15,73.9375
2013-10-16,74.094
2013-10-17,74.283
2013-10-18,74.527
2013-10-21,74.8135
2013-10-22,75.1305
2013-10-23,75.418
2013-10-24,75.62
2013-10-25,75.8055
2013-10-28,75.9195
2013-10-29,75.992
2013-10-30,76.055
2013-10-31,76.086
2013-11-01,76.013
2013-11-04,76.0085
2013-11-05,76.065
2013-11-06,76.187
2013-11-07,76.173
2013-11-08,76.144
2013-11-11,76.1395
2013-11-12,76.1465
2013-11-13,76.1475
2013-11-14,76.182
2013-11-15,76.215
2013-11-18,76.2205
2013-11-19,76.165
2013-11-20,76.107
2013-11-21,76.0925
2013-11-22,76.202
2013-11-25,76.254
2013-11-26,76.293
2013-11-27,76.401
2013-11-29,76.53
2013-12-02,76.726
2013-12-03,76.8575
2013-12-04,76.9705
2013-12-05,76.9695
2013-12-06,77.0565
2013-12-09,77.127
2013-12-10,77.1895
2013-12-11,77.2005
2013-12-12,77.1995
2013-12-13,77.096
2013-12-16,77.0175
2013-12-17,76.9755
2013-12-18,77.015
2013-12-19,77.0375
2013-12-20,77.0795
2013-12-23,77.019
2013-12-24,77.15
2013-12-26,77.2995
2013-12-27,77.398
2013-12-30,77.5115
2013-12-31,77.633
2014-01-02,77.716
2014-01-03,77.8235
2014-01-06,77.9645
2014-01-07,78.084
2014-01-08,78.2305
2014-01-09,78.411
2014-01-10,78.651
2014-01-13,78.817
2014-01-14,79.098
2014-01-15,79.3855
2014-01-16,79.615
2014-01-17,79.763
2014-01-21,79.9125
2014-01-22,79.9935
2014-01-23,79.9775
2014-01-24,79.815
2014-01-27,79.6355
2014-01-28,79.4985
2014-01-29,79.359
2014-01-30,79.248
2014-01-31,79.247
2014-02-03,79.172
2014-02-04,79.1755
2014-02-05,79.109
2014-02-06,79.0785
2014-02-07,79.096
2014-02-10,79.1265
2014-02-11,79.2195
2014-02-12,79.26
2014-02-13,79.291
2014-02-14,79.4035
2014-02-18,79.6
2014-02-19,79.7665
2014-02-20,80.0455
2014-02-21,80.44
2014-02-24,80.9425
2014-02-25,81.4705
2014-02-26,82.007
2014-02-27,82.5675
2014-02-28,83.0685
2014-03-03,83.554
2014-03-04,84.1775
2014-03-05,84.7805
2014-03-06,85.453
2014-03-07,86.042
2014-03-10,86.552
2014-03-11,87.026
2014-03-12,87.45
2014-03-13,87.7705
2014-03-14,88.048
2014-03-17,88.3545
2014-03-18,88.623
2014-03-19,88.894
2014-03-20,89.117
2014-03-21,89.3365
2014-03-24,89.5165
2014-03-25,89.73
2014-03-26,89.853
2014-03-27,89.8275
2014-03-28,89.8425
2014-03-31,89.866
2014-04-01,89.8205
