date,ULTOSC
2012-10-01,49.5979
2012-10-02,54.6929
2012-10-03,53.0897
2012-10-04,52.8705
2012-10-05,52.4669
2012-10-08,50.0469
2012-10-09,42.3289
2012-10-10,37.8067
2012-10-11,35.9551
2012-10-12,35.7457
2012-10-15,45.0628
2012-10-16,52.619
2012-10-17,56.5079
2012-10-18,58.7572
2012-10-19,58.06
2012-10-22,62.0908
2012-10-23,56.0718
2012-10-24,54.5093
2012-10-25,48.6552
2012-10-26,48.7584
2012-10-31,50.1047
2012-11-01,54.7116
2012-11-02,47.4553
2012-11-05,52.6384
2012-11-06,53.711
2012-11-07,53.562
2012-11-08,46.9681
2012-11-09,42.8052
2012-11-12,36.5887
2012-11-13,40.9207
2012-11-14,36.1275
2012-11-15,29.7471
2012-11-16,34.0947
2012-11-19,38.5473
2012-11-20,41.2907
2012-11-21,41.0671
2012-11-23,37.9437
2012-11-26,39.6506
2012-11-27,45.3029
2012-11-28,45.3297
2012-11-29,44.1376
2012-11-30,47.807
2012-12-03,44.9519
2012-12-04,54.171
2012-12-05,65.5111
2012-12-06,69.9639
2012-12-07,71.4852
2012-12-10,71.4859
2012-12-11,68.7717
2012-12-12,71.0657
2012-12-13,65.7953
2012-12-14,61.5603
2012-12-17,64.9293
2012-12-18,59.5747
2012-12-19,54.8766
2012-12-20,61.5794
2012-12-21,66.6139
2012-12-24,73.9756
2012-12-26,69.191
2012-12-27,69.8001
2012-12-28,63.0958
2012-12-31,69.1791
2013-01-02,70.4029
2013-01-03,63.8357
2013-01-04,65.7627
2013-01-07,69.5825
2013-01-08,71.1461
2013-01-09,71.7072
2013-01-10,71.1549
2013-01-11,70.0076
2013-01-14,77.8497
2013-01-15,76.5601
2013-01-16,68.125
2013-01-17,68.9417
2013-01-18,75.5703
2013-01-22,64.4736
2013-01-23,65.1951
2013-01-24,66.4211
2013-01-25,67.4495
2013-01-28,61.6706
2013-01-29,62.1472
2013-01-30,57.9733
2013-01-31,62.2854
2013-02-01,54.2548
2013-02-04,49.4541
2013-02-05,45.8118
2013-02-06,49.1052
2013-02-07,45.6158
2013-02-08,49.5055
2013-02-11,44.3465
2013-02-12,45.0103
2013-02-13,52.3395
2013-02-14,50.7416
2013-02-15,49.4041
2013-02-19,48.7963
2013-02-20,42.2051
2013-02-21,40.0002
2013-02-22,45.9232
2013-02-25,36.5898
2013-02-26,39.9226
2013-02-27,45.2758
2013-02-28,41.9946
2013-03-01,47.2812
2013-03-04,56.3058
2013-03-05,52.1136
2013-03-06,62.0644
2013-03-07,61.9437
2013-03-08,62.8162
2013-03-11,67.1294
2013-03-12,68.222
2013-03-13,60.4642
2013-03-14,62.8986
2013-03-15,55.2312
2013-03-18,58.2519
2013-03-19,56.5261
2013-03-20,56.7916
2013-03-21,51.7947
2013-03-22,53.2532
2013-03-25,44.899
2013-03-26,45.9763
2013-03-27,48.0768
2013-03-28,41.2722
2013-04-01,30.2958
2013-04-02,27.3708
2013-04-03,30.0659
2013-04-04,30.2005
2013-04-05,40.5759
2013-04-08,39.6562
2013-04-09,45.6833
2013-04-10,50.6551
2013-04-11,59.1991
2013-04-12,55.3659
2013-04-15,44.3871
2013-04-16,45.3246
2013-04-17,43.2706
2013-04-18,41.3444
2013-04-19,45.7195
2013-04-22,48.9591
2013-04-23,52.3469
2013-04-24,65.1448
2013-04-25,54.5555
2013-04-26,53.4806
2013-04-29,56.1063
2013-04-30,50.6463
2013-05-01,41.6037
2013-05-02,44.2557
2013-05-03,49.3562
2013-05-06,55.7104
2013-05-07,59.2523
2013-05-08,56.7063
2013-05-09,53.4178
2013-05-10,64.333
2013-05-13,63.9679
2013-05-14,64.8829
2013-05-15,61.0909
2013-05-16,65.2145
2013-05-17,68.5709
2013-05-20,72.3453
2013-05-21,66.7513
2013-05-22,59.4205
2013-05-23,61.3314
2013-05-24,63.0438
2013-05-28,60.1442
2013-05-29,55.5474
2013-05-30,57.1143
2013-05-31,56.8437
2013-06-03,64.9717
2013-06-04,58.5539
2013-06-05,52.1651
2013-06-06,52.8002
2013-06-07,48.6714
2013-06-10,46.6032
2013-06-11,47.9927
2013-06-12,39.3003
2013-06-13,46.4141
2013-06-14,51.1838
2013-06-17,49.5485
2013-06-18,53.0939
2013-06-19,52.4958
2013-06-20,49.6915
2013-06-21,52.6232
2013-06-24,45.517
2013-06-25,48.6113
2013-06-26,50.5337
2013-06-27,51.015
2013-06-28,48.5836
2013-07-01,46.5498
2013-07-02,43.5887
2013-07-03,47.8779
2013-07-05,48.745
2013-07-08,46.3508
2013-07-09,48.0087
2013-07-10,56.0529
2013-07-11,59.2393
2013-07-12,65.1431
2013-07-15,63.4179
2013-07-16,53.1886
2013-07-17,45.0009
2013-07-18,40.4798
2013-07-19,41.3906
2013-07-22,42.9766
2013-07-23,36.5451
2013-07-24,30.6393
2013-07-25,33.1134
2013-07-26,33.763
2013-07-29,40.4076
2013-07-30,42.8566
2013-07-31,43.9417
2013-08-01,43.6296
2013-08-02,47.7501
2013-08-05,48.3076
2013-08-06,52.6791
2013-08-07,48.2726
2013-08-08,43.6914
2013-08-09,44.4551
2013-08-12,47.3421
2013-08-13,51.7195
2013-08-14,46.0572
2013-08-15,45.3934
2013-08-16,50.6685
2013-08-19,46.1391
2013-08-20,48.8899
2013-08-21,47.7299
2013-08-22,47.0573
2013-08-23,53.3896
2013-08-26,54.3292
2013-08-27,46.6873
2013-08-28,52.4682
2013-08-29,55.0934
2013-08-30,56.5708
2013-09-03,48.5722
2013-09-04,45.2864
2013-09-05,52.0745
2013-09-06,52.8843
2013-09-09,51.7431
2013-09-10,45.9384
2013-09-11,47.524
2013-09-12,45.4085
2013-09-13,49.6123
2013-09-16,44.8809
2013-09-17,53.1143
2013-09-18,54.4316
2013-09-19,50.4763
2013-09-20,45.9425
2013-09-23,49.8837
2013-09-24,46.9897
2013-09-25,49.1038
2013-09-26,49.5418
2013-09-27,44.1938
2013-09-30,51.1537
2013-10-01,59.3034
2013-10-02,62.6427
2013-10-03,67.3117
2013-10-04,72.504
2013-10-07,66.3476
2013-10-08,62.6287
2013-10-09,61.0458
2013-10-10,65.6534
2013-10-11,66.1413
2013-10-14,64.8351
2013-10-15,57.5314
2013-10-16,63.9277
2013-10-17,72.1343
2013-10-18,72.3856
2013-10-21,69.7611
2013-10-22,67.377
2013-10-23,65.1679
2013-10-24,62.6177
2013-10-25,59.6365
2013-10-28,50.5869
2013-10-29,60.1242
2013-10-30,53.0963
2013-10-31,47.4185
2013-11-01,46.1965
2013-11-04,50.7251
2013-11-05,49.3088
2013-11-06,55.2125
2013-11-07,42.4174
2013-11-08,49.2043
2013-11-11,56.5137
2013-11-12,55.4391
2013-11-13,58.4802
2013-11-14,63.3321
2013-11-15,63.4398
2013-11-18,62.3509
2013-11-19,56.6984
2013-11-20,56.0208
2013-11-21,58.8027
2013-11-22,60.5284
2013-11-25,44.9787
2013-11-26,39.8685
2013-11-27,45.2271
2013-11-29,43.545
2013-12-02,46.9035
2013-12-03,44.9143
2013-12-04,41.9477
2013-12-05,44.1433
2013-12-06,51.375
2013-12-09,48.146
2013-12-10,51.2715
2013-12-11,42.7612
2013-12-12,42.1197
2013-12-13,37.7984
2013-12-16,40.7929
2013-12-17,41.2542
2013-12-18,48.1401
2013-12-19,47.1087
2013-12-20,53.7248
2013-12-23,54.9558
2013-12-24,59.2378
2013-12-26,60.6992
2013-12-27,58.8971
2013-12-30,54.8911
2013-12-31,62.3124
2014-01-02,56.2484
2014-01-03,59.4724
2014-01-06,51.7065
2014-01-07,55.356
2014-01-08,56.0134
2014-01-09,55.3184
2014-01-10,49.7291
